Porto Moniz,Ponta São Lourenço,Campanário,Ponta São Lourenço ,Cabo Girão,Lugar de Baixo,Madalena do Mar,Ponta do Pargo,Ribeira da Janela,Paúl do Mar,Funchal,Desertas,Caniçal,Jardim do Mar,Calheta,Garajau,Porto Moniz ,Seixal,Seixal ,Rocha do Navio,Santa Cruz,Machico,Ponta do Sol,Ponta Delgada,Ribeira Brava,Ponta Delgada ,São Vicente,São Vicente ,Caniçal ,Atalaia,Faja Padres,Fajã dos Padres,Selvagens,site
0.0,49.29271547056772,25.262309162657445,49.29271547056772,28.530957632593697,21.80151409863564,18.03046999170068,10.801439735931263,1.4830165566009552,12.842542485919632,33.20921059959618,73.75112848881275,45.78816486689583,14.449531807879675,16.477768116776648,35.43419379187574,0.0,6.029516100818247,6.029516100818247,27.733267448608338,40.95386826936409,40.96943219860895,21.190888628891518,16.368326565547832,23.127098263365838,16.368326565547832,13.53847480618783,13.53847480618783,45.78816486689583,39.95136628509154,26.94630745506203,26.94630745506203,332.7454184246674,Porto Moniz
49.29271547056772,0.0,36.20823126852505,0.0,32.381416035674256,40.19317204454648,44.73718870071545,56.41107752242075,47.89249630408624,53.7678315519723,27.579192159921234,29.343717612096864,3.6119725344606595,51.54055066941502,47.33278357146903,23.13600705013633,49.29271547056772,43.94046392740592,43.94046392740592,21.933385810900866,11.811794888715966,9.695626862268844,41.95505668382295,32.96509542739561,38.60236934404031,32.96509542739561,35.89869474986904,35.89869474986904,3.6119725344606595,17.359238624373916,34.64338884501357,34.64338884501357,305.98471863045114,Ponta São Lourenço
25.262309162657445,36.20823126852505,0.0,36.20823126852505,4.446506058714358,4.763007415394576,10.299665237627961,25.96951153665304,23.940426301738764,21.5199924146174,10.29922825441704,53.29225198657801,33.66279338799927,18.33133413512879,13.313527570260177,14.366535591694253,25.262309162657445,19.67628802116248,19.67628802116248,23.08411988534477,24.680608474094715,26.51917912159038,6.474799314234082,18.90632398546048,2.8770363932689365,18.90632398546048,16.80508141940682,16.80508141940682,33.66279338799927,20.554248782630204,2.0435036437922833,2.0435036437922833,307.77252244807323,Campanário
49.29271547056772,0.0,36.20823126852505,0.0,32.381416035674256,40.19317204454648,44.73718870071545,56.41107752242075,47.89249630408624,53.7678315519723,27.579192159921234,29.343717612096864,3.6119725344606595,51.54055066941502,47.33278357146903,23.13600705013633,49.29271547056772,43.94046392740592,43.94046392740592,21.933385810900866,11.811794888715966,9.695626862268844,41.95505668382295,32.96509542739561,38.60236934404031,32.96509542739561,35.89869474986904,35.89869474986904,3.6119725344606595,17.359238624373916,34.64338884501357,34.64338884501357,305.98471863045114,Ponta São Lourenço 
28.530957632593697,32.381416035674256,4.446506058714358,32.381416035674256,0.0,9.194932328881011,14.702083349336515,30.145564861047603,27.139781390572768,25.832976250709674,5.852952164830369,48.8513077937583,30.030349216995283,22.70292578474877,17.709724887183306,10.008184111986045,28.530957632593697,22.69476301073955,22.69476301073955,21.52125115271964,20.691414403340513,22.75163097807892,10.920955050383363,19.69386129224518,7.313478508670217,19.69386129224518,18.412431085532624,18.412431085532624,30.030349216995283,16.251676618372837,2.4620757418766486,2.4620757418766486,305.24568993044034,Cabo Girão
21.80151409863564,40.19317204454648,4.763007415394576,40.19317204454648,9.194932328881011,0.0,5.550503107092592,21.41104877782503,20.591515879292956,16.832087315889826,15.038681969386873,58.04610073683299,37.46408779077077,13.595621660214013,8.564398163915817,18.991066074609435,21.80151409863564,16.67911422274516,16.67911422274516,25.071219598933247,28.893585150544013,30.506235592019184,1.7933601063785332,18.671433993288705,1.8860717972483994,18.671433993288705,15.762391067385401,15.762391067385401,37.46408779077077,25.096403881589435,6.803448129732507,6.803448129732507,310.94434135649686,Lugar de Baixo
18.03046999170068,44.73718870071545,10.299665237627961,44.73718870071545,14.702083349336517,5.5505031070925925,0.0,16.041545380181116,17.033143082418622,11.32073680370979,20.518970399440096,63.529108863821904,41.825941790840716,8.047087552073007,3.0144930524311855,24.331246968048937,18.03046999170068,13.887733124365637,13.887733124365637,27.775808736308807,33.752178110027565,35.11913188843539,4.021544451521305,19.340454274281107,7.430102028480035,19.340454274281107,15.750942176383754,15.750942176383754,41.825941790840716,30.32149366699076,12.343091774335575,12.343091774335575,315.0934211750425,Madalena do Mar
10.801439735931263,56.41107752242075,25.96951153665304,56.41107752242075,30.145564861047603,21.41104877782503,16.041545380181116,0.0,11.34086859341716,5.1437120130844445,35.72046830715857,78.30825943168117,53.087629457156524,8.52821138458612,13.215875014750749,38.97346962667373,10.801439735931263,13.32887748485609,13.32887748485609,35.968324090543376,46.70521183344127,47.348695361921564,20.047640183772586,24.732692026230392,23.210708883894164,24.732692026230392,21.072749916448096,21.072749916448096,53.087629457156524,44.439861881570266,27.974924797859646,27.974924797859646,329.78132530976177,Ponta do Pargo
1.4830165566009552,47.89249630408624,23.940426301738764,47.89249630408624,27.139781390572768,20.591515879292956,17.033143082418622,11.34086859341716,0.0,12.788062537616334,31.767162892433046,72.27092972602662,44.39752353033288,14.056322137073032,15.664680228586887,33.9616239067358,1.4830165566009552,4.5603433459509715,4.5603433459509715,26.398976062975503,39.48683617625632,39.523494034070794,20.054539822648437,15.006286821392978,21.86582433314845,15.006286821392978,12.090660374810417,12.090660374810417,44.39752353033288,38.46834991025373,25.594671945037383,25.594671945037383,331.5247456947319,Ribeira da Janela
12.842542485919632,53.7678315519723,21.5199924146174,53.7678315519723,25.832976250709674,16.832087315889826,11.32073680370979,5.1437120130844445,12.788062537616334,0.0,31.551937191782326,74.4358482251258,50.57366923475108,3.438942049103342,8.365111120721805,35.072460023956424,12.842542485919632,12.980571294422699,12.980571294422699,34.28109554535772,43.525278937384996,44.44242930140685,15.338009330461391,23.550588973372747,18.68655292046152,23.550588973372747,19.67083747567315,19.67083747567315,50.57366923475108,40.78822045184878,23.555673274418485,23.555673274418485,324.64857883595727,Paúl do Mar
