Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements,accessibility
1,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.35,4.45,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
2,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,23.48,4.81,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
3,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.48,1.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
4,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.44,3.02,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
5,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.96,4.31,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
6,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.18,1.78,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
7,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.12,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
8,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.83,3.36,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
9,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.8,2.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
10,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.2,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
11,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.97,2.84,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
12,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.1,2.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
13,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.9,1.56,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
14,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.76,2.1,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
15,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.34,2.29,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
16,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.65,2.01,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
17,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.97,1.95,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
18,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.21,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
19,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.13,3.28,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
20,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.44,1.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
21,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.94,2.33,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
22,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.65,2.42,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
23,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.82,1.69,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
24,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.78,1.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
25,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.58,1.26,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
26,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.44,0.74,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
27,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.69,1.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
28,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.96,0.91,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
29,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.28,0.83,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
30,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.6,0.9,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
31,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.24,0.92,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
32,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.38,0.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
33,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.9,0.62,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
34,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.91,1.01,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
35,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.98,0.88,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
36,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.44,0.81,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
37,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.01,0.65,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
38,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.91,0.82,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
39,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.34,0.59,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
40,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.22,0.92,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
41,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.36,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
42,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.91,0.56,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
43,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.8,0.77,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
44,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.01,0.51,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
45,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.36,0.42,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
46,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.29,0.52,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
47,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.46,0.69,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
48,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.84,1.67,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
49,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.82,4.17,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
50,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.45,1.51,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
51,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.05,1.15,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
52,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.63,1.07,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
53,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,25.79,3.76,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
54,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,25.14,2.45,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
55,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,22.23,1.6,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
56,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.74,0.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
57,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,21.98,3.46,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
58,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.16,2.34,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
59,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.23,3.08,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
60,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.37,1.76,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
61,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.33,1.42,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
62,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.48,2.3,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
63,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.12,1.89,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
64,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.86,2.97,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
65,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.95,2.04,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
66,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.97,0.82,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
67,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.64,1.74,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
68,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,20.64,2.83,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
69,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.97,1.03,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
70,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.43,1.96,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
71,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.53,0.86,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
72,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,19.02,1.86,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
73,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.27,0.87,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
74,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.37,1.33,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
75,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.27,0.53,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
76,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.41,0.77,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
77,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.22,1.23,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
78,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.78,0.75,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
79,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.24,0.63,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
80,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.13,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
81,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.53,0.62,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
82,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.89,0.67,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
83,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.41,0.38,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
84,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.93,0.79,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
85,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.61,0.55,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
86,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.36,0.89,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
87,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.1,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
88,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.3,0.45,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
89,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.67,0.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
90,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.32,0.37,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
91,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.41,0.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
92,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.74,0.34,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
93,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.32,0.37,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
94,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.1,0.35,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
95,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8.25,0.23,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
96,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8,0.25,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
97,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.2,1.27,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
98,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.75,1.06,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
99,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.71,0.9,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
100,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.18,0.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
101,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.55,0.75,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
102,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.27,1.29,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
103,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.77,0.83,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
104,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.33,1.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
105,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.15,1.05,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
106,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.81,0.86,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
107,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.8,0.72,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
108,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.89,1.25,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
109,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.92,1.06,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
110,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.45,0.94,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
111,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.8,0.68,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
112,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.32,0.94,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
113,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.16,0.69,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
114,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.06,0.47,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
115,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,6.82,0.14,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
116,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8.03,0.3,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
117,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,6.73,0.13,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
118,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.2,0.71,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
119,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.49,0.73,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
120,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.23,0.48,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
121,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.02,0.49,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
122,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.28,0.81,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
123,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,13.28,0.67,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
124,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,7.4,0.33,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
125,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,7.1,0.23,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
126,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8.2,0.35,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
127,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,6.94,0.27,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
128,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.12,0.42,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
129,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.95,0.44,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
130,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.67,0.7,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
131,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.16,0.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
132,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.14,0.34,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
133,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.97,0.52,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
134,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.46,0.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
135,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.81,0.41,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
136,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.99,0.71,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
137,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.77,0.58,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
138,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.04,0.43,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
139,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.76,0.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
140,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.99,0.52,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
141,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.01,0.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
142,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.17,0.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
143,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.98,0.63,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
144,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.28,0.37,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
145,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.55,0.27,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
146,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.27,0.45,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
147,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.24,0.32,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
148,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.91,0.34,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
149,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8.96,0.25,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
150,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,8.32,0.22,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
151,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.85,1.46,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
152,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.74,1,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
153,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.79,0.51,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
154,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.55,1.01,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
155,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,15.18,1.04,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
156,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.41,1.57,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
157,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.75,0.63,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
158,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,10.73,0.4,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
159,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,11.93,0.46,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
160,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9,0.2,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
161,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,18.23,2.06,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
162,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.82,1.76,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
163,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.83,0.64,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
164,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,12.93,0.77,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
165,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.54,1.37,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
166,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,17.6,1.54,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
167,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,9.03,0.37,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
168,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.58,0.87,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
169,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.96,1.07,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
170,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.1,0.9,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
171,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,16.72,1.58,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
172,Phorcus sauciatus,Madeira archipelago,2016,10,01/10/2016,14.05,0.84,São Vicente,32°48.93'0.49''N,17°0.96'0.21''W,Full access,Near,North
