Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Water_salinity,Water_temperature,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
38,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.79,3.11,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
39,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,19.24,3.92,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
40,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.89,3.13,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
41,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.65,3.12,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
42,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.77,2.47,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
43,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.36,3.4,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
44,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.74,3.13,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
45,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,17.95,3.22,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
46,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,20.53,4.69,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
47,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.97,2.44,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
48,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,19.31,3.99,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
49,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,18.03,2.89,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
50,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,16.94,2.71,35,15,Praia da Oura,37°5.09'0.42''N,8°13.72'0.01''E,Full access,Near
51,Phorcus sauciatus,mainland Portugal,2018,3,05/03/2018,21.43,3.33,33,15,Praia dos Aveiros,37°5.12'0.06''N,8°13.7'0.13''E,Full access,Near
