Individual_number,Species,Locality,Year,Month,Data,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
91,Phorcus mariae,Cape verde,2017,7,01/07/2017,12.14,0.64,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
92,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.46,1.34,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
93,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.46,1.19,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
94,Phorcus mariae,Cape verde,2017,7,01/07/2017,13.82,0.83,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
95,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.74,2.04,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
96,Phorcus mariae,Cape verde,2017,7,01/07/2017,18.21,2.92,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
97,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.78,2.05,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
98,Phorcus mariae,Cape verde,2017,7,01/07/2017,18,2.43,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
99,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.38,1.7,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
100,Phorcus mariae,Cape verde,2017,7,01/07/2017,13.88,0.84,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
101,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.25,1.38,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
102,Phorcus mariae,Cape verde,2017,7,01/07/2017,14.83,1.24,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
103,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.37,2.41,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
104,Phorcus mariae,Cape verde,2017,7,01/07/2017,17.66,2.2,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
105,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.63,2.01,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
106,Phorcus mariae,Cape verde,2017,7,01/07/2017,16.27,1.6,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
107,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.03,1.34,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
108,Phorcus mariae,Cape verde,2017,7,01/07/2017,15.54,1.29,Praia,"14°54'13.0""N"," 23°30'41.6""W",Full access,Near
